year,month,state_id,gender_id,value,pp_id
2034,March,28,3,2328,808
2034,March,28,1,1180,809
2034,March,28,2,1148,810
2034,March,20,3,22071,811
2034,March,20,1,11108,812
2034,March,20,2,10963,813
2034,March,13,3,45824,814
2034,March,13,1,22912,815
2034,March,13,2,22912,816
2034,March,31,3,532,817
2034,March,31,1,278,818
2034,March,31,2,254,819
2034,March,15,3,25130,820
2034,March,15,1,13130,821
2034,March,15,2,12000,822
2034,March,17,3,14877,823
2034,March,17,1,7934,824
2034,March,17,2,6943,825
2034,March,21,3,1500,826
2034,March,21,1,735,827
2034,March,21,2,765,828
2034,March,9,3,10179,829
2034,March,9,1,5269,830
2034,March,9,2,4910,831
2034,March,27,3,1495,832
2034,March,27,1,784,833
2034,March,27,2,711,834
2034,March,18,3,776,835
2034,March,18,1,388,836
2034,March,18,2,388,837
2034,March,22,3,771,838
2034,March,22,1,385,839
2034,March,22,2,386,840
2034,March,6,3,1240,841
2034,March,6,1,612,842
2034,March,6,2,628,843
2034,March,1,3,69790,844
2034,March,1,1,36674,845
2034,March,1,2,33116,846
2034,March,3,3,29067,847
2034,March,3,1,15155,848
2034,March,3,2,13912,849
2034,March,36,3,71,850
2034,March,36,1,37,851
2034,March,36,2,34,852
2034,March,35,3,124,853
2034,March,35,1,81,854
2034,March,35,2,43,855
2034,March,7,3,34713,856
2034,March,7,1,16601,857
2034,March,7,2,18112,858
2034,March,10,3,35540,859
2034,March,10,1,18105,860
2034,March,10,2,17435,861
2034,March,24,3,12446,862
2034,March,24,1,6516,863
2034,March,24,2,5930,864
2034,March,32,3,4875,865
2034,March,32,1,2639,866
2034,March,32,2,2236,867
2034,March,23,3,820,868
2034,March,23,1,443,869
2034,March,23,2,377,870
2034,March,25,3,16406,871
2034,March,25,1,8759,872
2034,March,25,2,7647,873
2034,March,11,3,43215,874
2034,March,11,1,22987,875
2034,March,11,2,20228,876
2034,March,33,3,1429,877
2034,March,33,1,731,878
2034,March,33,2,698,879
2034,March,29,3,25775,880
2034,March,29,1,13798,881
2034,March,29,2,11977,882
2034,March,34,3,1622,883
2034,March,34,1,1355,884
2034,March,34,2,267,885
2034,March,34,3,1189,886
2034,March,34,1,707,887
2034,March,34,2,482,888
2034,March,4,3,10273,889
2034,March,4,1,5252,890
2034,March,4,2,5021,891
2034,March,19,3,1343,892
2034,March,19,1,737,893
2034,March,19,2,606,894
2034,March,2,3,19118,895
2034,March,2,1,10089,896
2034,March,2,2,9029,897
2034,March,5,3,6582,898
2034,March,5,1,3382,899
2034,March,5,2,3200,900
2034,March,26,3,478,901
2034,March,26,1,253,902
2034,March,26,2,225,903
2034,March,14,3,23537,904
2034,March,14,1,11845,905
2034,March,14,2,11692,906
2034,March,30,3,208,907
2034,March,30,1,111,908
2034,March,30,2,97,909
2034,March,37,3,578810,910
2034,March,37,1,300316,911
2034,March,37,2,278494,912
2034,July,8,3,42782,913
2034,July,8,1,22007,914
2034,July,8,2,20775,915
2034,July,12,3,5285,916
2034,July,12,1,2805,917
2034,July,12,2,2480,918
2034,July,16,3,65850,919
2034,July,16,1,34768,920
2034,July,16,2,31082,921
2034,July,28,3,2350,922
2034,July,28,1,1191,923
2034,July,28,2,1159,924
2034,July,20,3,22071,925
2034,July,20,1,11108,926
2034,July,20,2,10963,927
2034,July,13,3,45945,928
2034,July,13,1,22973,929
2034,July,13,2,22973,930
2034,July,31,3,538,931
2034,July,31,1,281,932
2034,July,31,2,257,933
2034,July,15,3,25236,934
2034,July,15,1,13185,935
2034,July,15,2,12051,936
2034,July,17,3,14935,937
2034,July,17,1,7965,938
2034,July,17,2,6970,939
2034,July,21,3,1511,940
2034,July,21,1,740,941
2034,July,21,2,771,942
2034,July,9,3,10222,943
2034,July,9,1,5291,944
2034,July,9,2,4931,945
2034,July,27,3,1509,946
2034,July,27,1,791,947
2034,July,27,2,718,948
2034,July,18,3,779,949
2034,July,18,1,390,950
2034,July,18,2,389,951
2034,July,22,3,773,952
2034,July,22,1,386,953
2034,July,22,2,387,954
2034,July,6,3,1246,955
2034,July,6,1,615,956
2034,July,6,2,631,957
2034,July,1,3,70028,958
2034,July,1,1,36799,959
2034,July,1,2,33229,960
2034,July,3,3,29177,961
2034,July,3,1,15212,962
2034,July,3,2,13965,963
2034,July,36,3,71,964
2034,July,36,1,37,965
2034,July,36,2,34,966
2034,July,35,3,125,967
2034,July,35,1,82,968
2034,July,35,2,43,969
2034,July,7,3,34873,970
2034,July,7,1,16678,971
2034,July,7,2,18195,972
2034,July,10,3,35701,973
2034,July,10,1,18187,974
2034,July,10,2,17514,975
2034,July,24,3,12507,976
2034,July,24,1,6548,977
2034,July,24,2,5959,978
2034,July,32,3,4896,979
2034,July,32,1,2651,980
2034,July,32,2,2245,981
2034,July,23,3,821,982
2034,July,23,1,443,983
2034,July,23,2,378,984
2034,July,25,3,16520,985
2034,July,25,1,8820,986
2034,July,25,2,7700,987
2034,July,11,3,43464,988
2034,July,11,1,23119,989
2034,July,11,2,20345,990
2034,July,33,3,1435,991
2034,July,33,1,734,992
2034,July,33,2,702,993
2034,July,29,3,25911,994
2034,July,29,1,13871,995
2034,July,29,2,12040,996
2034,July,34,3,1678,997
2034,July,34,1,1406,998
2034,July,34,2,272,999
2034,July,34,3,1220,1000
2034,July,34,1,725,1001
2034,July,34,2,495,1002
2034,July,4,3,10337,1003
2034,July,4,1,5285,1004
2034,July,4,2,5052,1005
2034,July,19,3,1346,1006
2034,July,19,1,739,1007
2034,July,19,2,607,1008
2034,July,2,3,19222,1009
2034,July,2,1,10143,1010
2034,July,2,2,9078,1011
2034,July,5,3,6612,1012
2034,July,5,1,3398,1013
